sampleID;Plant;Clostero;Polero;Partiti;PILV;CAMV;Population;Timepoint;Genotype;Leaves;Lenght;Width;Leaf area;Plant area;Herbivory;Virotic;Curly;Yellow
273;S262;1;0;0;0;0;2;2;1;10;16;1,9;23,864;238,64;1;0;0;0
274;S92;1;0;0;0;0;2;2;2;29;24,5;1,6;30,772;892,388;0;1;0;0
275;S109;0;0;0;1;0;2;2;2;33;24,3;1,6;30,5208;1007,1864;1;1;0;1
276;S5;0;0;0;0;0;2;2;3;15;15,5;1,4;17,0345;255,5175;1;1;0;0
277;S289;0;0;0;0;0;2;2;1;12;11;0,9;7,7715;93,258;1;0;0;0
278;S248;0;0;0;0;0;2;2;1;12;16,6;1,4;18,2434;218,9208;1;0;0;0
279;S168;0;0;0;0;0;2;2;4;7;9,8;1;7,693;53,851;1;0;0;0
280;S192;0;0;0;0;0;2;2;4;18;11;1,4;12,089;217,602;1;1;1;1
281;S309;0;0;0;0;0;2;2;1;9;11,2;1,2;10,5504;94,9536;1;0;0;0
282;S244;0;0;0;0;0;2;2;1;8;14,5;1,2;13,659;109,272;1;0;0;0
283;S93;0;0;0;1;0;2;2;2;16;23,5;1,3;23,98175;383,708;1;0;0;0
284;S115;0;0;0;0;0;2;2;2;9;19,9;1,4;21,8701;196,8309;1;0;0;0
285;S217;0;0;0;0;0;2;2;4;9;10,5;1;8,2425;74,1825;1;0;0;0
286;S6;0;0;0;0;0;2;2;3;9;15,5;1,4;17,0345;153,3105;1;0;0;0
287;S154;0;0;0;1;0;2;2;2;33;20,4;1;16,014;528,462;1;0;0;0
288;S108;NA;NA;NA;0;0;2;2;2;22;24;1,8;33,912;746,064;1;1;1;0
289;S21;0;0;0;0;0;2;2;3;10;18,8;1,5;22,137;221,37;1;0;0;0
290;S75;0;0;0;0;0;2;2;3;11;16;1,5;18,84;207,24;1;0;0;0
291;S189;0;0;0;0;0;2;2;4;6;8,7;0,9;6,14655;36,8793;0;0;0;0
292;S268;0;0;0;0;0;2;2;1;9;13,2;1,3;13,4706;121,2354;1;0;0;0
293;S223;0;0;0;0;0;2;2;4;20;11,6;1,1;10,0166;200,332;1;0;0;0
294;S224;0;0;0;0;0;2;2;4;27;11,4;1;8,949;241,623;1;0;0;0
295;S23;0;0;0;0;0;2;2;3;12;13,5;1,3;13,77675;165,321;1;1;0;0
296;S171;0;0;0;0;0;2;2;4;13;8,5;0,7;4,67075;60,71975;1;1;0;0
297;S175;1;0;0;0;0;2;2;4;10;12,4;1,3;12,6542;126,542;1;1;1;0
298;S105;1;0;0;0;0;4;2;2;10;23,8;1,8;33,6294;336,294;1;1;0;0
299;S45;1;0;0;0;0;4;2;3;14;12,1;0,8;7,5988;106,3832;1;1;0;0
300;S29;0;0;0;0;0;4;2;3;10;14,6;1;11,461;114,61;1;1;0;0
301;S86;0;0;0;0;0;4;2;2;20;23,7;1,4;26,0463;520,926;1;1;0;0
302;S63;0;0;0;0;0;4;2;3;11;14,6;1,5;17,1915;189,1065;1;1;0;1
303;S103;1;0;0;0;0;4;2;2;20;27,9;1,5;32,85225;657,045;1;0;0;0
304;S104;1;0;0;0;0;4;2;2;29;26;1,5;30,615;887,835;1;1;0;0
305;S1;0;0;0;0;0;4;2;3;8;16,2;1,4;17,8038;142,4304;0;1;1;1
306;S181;0;0;0;0;0;4;2;4;10;16,5;1,5;19,42875;194,2875;1;0;0;0
307;S102;0;0;1;1;0;4;2;2;18;24,2;1,3;24,6961;444,5298;1;1;1;0
308;S276;0;0;0;0;0;4;2;1;14;1,2;1,4;1,3188;18,4632;1;1;0;0
309;S66;0;0;0;0;0;4;2;3;NA;NA;NA;NA;NA;1;0;0;0
310;S230;0;0;0;0;0;4;2;4;20;7,7;0,4;2,4178;48,356;1;0;0;0
311;S42;0;0;0;0;0;4;2;3;9;12;1,1;10,362;93,258;1;0;0;0
312;S277;0;0;0;0;0;4;2;1;5;13,5;1;10,5975;52,9875;0;0;0;0
313;S49;0;0;0;0;0;4;2;3;NA;NA;NA;NA;NA;1;1;0;0
314;S156;1;0;0;1;0;4;2;2;16;21,6;1,1;18,6516;298,4256;1;1;1;0
315;S134;0;0;0;1;0;4;2;2;15;17,6;1,4;19,3424;290,136;1;0;0;0
316;S188;0;0;0;0;0;4;2;4;17;12,5;1,2;11,775;200,175;1;0;0;0
317;S233;0;0;0;0;0;4;2;4;11;12,2;0,9;8,6193;94,8123;1;0;0;0
318;S246;0;0;0;0;0;4;2;1;11;16,2;1,4;17,8038;195,8418;1;0;0;0
319;S213;0;0;0;0;0;4;2;4;14;14,2;1,4;15,6058;218,4812;1;0;0;0
320;S178;0;0;0;0;0;4;2;4;9;10,4;0,8;6,5312;58,7808;1;0;0;0
321;S196;1;0;0;0;0;4;2;4;17;10,5;1;8,2425;140,1225;1;1;0;0
322;S147;0;0;1;0;0;4;2;2;14;18,2;1,2;17,1444;240,0216;1;0;0;0
323;S58;1;0;0;0;0;4;2;3;9;15,6;1,6;19,5936;176,3424;1;0;0;0
324;S89;1;0;0;1;0;4;2;2;22;15,1;0,9;10,66815;234,6993;1;0;0;0
325;S315;0;0;0;0;0;4;2;1;8;17,2;1,1;14,8522;118,8176;0;1;0;0
326;S140;0;0;0;0;0;4;2;2;12;12,9;1;10,1265;121,518;1;0;0;0
327;S173;0;0;0;0;0;4;2;4;21;14;1,6;17,584;369,264;1;0;0;0
328;S8;0;0;0;0;0;2;1;3;12;12,2;1,8;17,2386;206,8632;1;0;0;0
329;S207;0;0;0;0;0;2;1;4;18;13;1,1;11,2255;202,059;1;0;0;0
330;S114;0;0;0;0;0;2;1;2;16;16,5;1,1;14,24775;227,964;0;1;0;1
331;S160;0;0;0;0;0;2;1;2;16;22,8;1;17,898;286,368;1;1;0;1
332;S309;1;0;0;0;0;2;1;1;9;11,2;1,2;10,5504;94,9536;1;0;0;0
333;S262;1;0;1;0;0;2;1;1;10;16;1,9;23,864;238,64;1;1;0;1
334;S7;1;0;1;0;0;2;1;3;12;16,4;1,2;15,4488;185,3856;1;0;0;0
335;S54;0;0;1;0;0;2;1;3;13;14,6;1,1;12,6071;163,8923;0;1;0;1
336;S282;0;0;1;0;0;2;1;1;13;11,1;0,9;7,84215;101,94795;0;0;0;0
337;S55;0;0;1;1;0;2;1;3;7;15,5;1,3;15,81775;110,72425;0;1;0;1
338;S189;1;0;1;0;0;2;1;4;6;8,7;0,9;6,14655;36,8793;0;0;0;0
339;S244;1;0;1;0;0;2;1;1;8;14,5;1,2;13,659;109,272;0;1;0;1
340;S298;1;0;1;0;0;2;1;1;13;12,2;1;9,577;124,501;1;1;0;1
341;S93;1;0;1;0;0;2;1;2;16;23,5;1,3;23,98175;383,708;1;0;0;0
342;S312;1;0;0;0;0;2;1;1;7;16,8;1,2;15,8256;110,7792;1;0;0;0
343;S75;0;0;1;0;0;2;1;3;11;16;1,5;18,84;207,24;1;1;0;1
344;S44;1;0;0;0;0;2;1;3;10;14,6;1,8;20,6298;206,298;1;0;0;0
345;S108;0;0;0;0;0;2;1;2;22;24;1,8;33,912;746,064;1;1;0;1
346;S128;0;0;0;1;0;2;1;2;13;19,9;1;15,6215;203,0795;1;0;0;0
347;S238;0;0;0;0;0;2;1;4;20;12,5;1,2;11,775;235,5;1;0;0;0
348;S171;0;1;0;0;0;2;1;4;13;8,5;0,7;4,67075;60,71975;1;0;0;0
349;S266;0;0;0;0;0;2;1;1;8;11;1;8,635;69,08;0;1;0;1
350;S137;0;0;0;0;0;2;1;2;11;20,4;1,4;22,4196;246,6156;1;1;0;1
351;S192;1;0;0;0;0;2;1;4;18;11;1,4;12,089;217,602;1;1;1;0
352;S217;0;0;0;1;0;2;1;4;9;10,5;1;8,2425;74,1825;0;0;0;0
353;S5;0;0;0;0;0;2;1;3;15;15,5;1,4;17,0345;255,5175;1;1;0;1
354;S129;1;0;0;1;0;2;1;2;15;19,5;1,2;18,369;275,535;1;1;0;1
355;S116;0;0;0;0;0;4;2;2;18;21,1;1,2;19,8762;357,7716;1;0;0;0
356;S167;0;0;0;0;0;4;2;4;11;14,9;1;11,6965;128,6615;1;0;0;0
357;S291;0;0;0;0;0;4;2;1;8;11,7;0,9;8,26605;66,1284;1;0;0;0
358;S149;NA;NA;NA;1;0;4;2;2;31;25,5;1,5;30,02625;930,81375;1;1;1;0
359;S135;0;0;0;0;0;4;2;2;10;20;1,3;20,41;204,1;1;0;0;0
